,avg_raid_point,avg_tackle_points,dod_raid_points,high_5s,matches_played,player_id,player_name,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,team_name,total_points
37,0.17,2.89,,25,92,322,PO Surjeet Singh,9,7,250,,,16,266,Puneri Paltan,275
38,2.92,0.11,126,,89,85,Rajesh Mondal,260,212,9,1,7,1,10,Puneri Paltan,270
39,0.24,2.49,1,16,104,161,Girish Maruti Ernak,10,3,245,,1,14,259,Puneri Paltan,269
40,3.38,1.35,17,1,55,88,Rakesh Kumar,186,164,68,3,1,6,74,Telugu Titans,260
41,0.54,3.13,2,19,71,146,Surender Nada,21,15,206,,,16,222,Haryana Steelers,243
42,0.37,2.66,1,11,86,212,Amit Hooda,10,4,211,,,18,229,Jaipur Pink Panthers,239
43,2.88,0.31,53,1,74,105,Shabeer Bappu,213,169,16,5,5,7,23,Tamil Thalaivas,236
44,4.55,1,34,,42,763,Manjeet,191,162,40,4,5,2,42,Puneri Paltan,233
45,,2.03,,5,112,54,Jeeva Kumar,1,1,205,,,22,227,Bengal Warriors,228
46,3.64,0.26,37,,58,686,Rohit Gulia,211,176,14,4,3,1,15,Gujarat Fortunegiants,226
47,,3.14,,13,64,290,Sandeep Kumar Dhull,1,,183,,,18,201,Jaipur Pink Panthers,202
48,0.04,3.36,,15,59,358,Vishal Bhardwaj,1,1,177,,,21,198,Telugu Titans,199
49,0.22,3.18,,15,62,725,Nitesh Kumar,2,,182,,,15,197,U.P. Yoddha,199
50,2.95,0.24,47,,62,163,Mahendra Ganesh Rajput,180,132,13,2,9,2,15,Gujarat Fortunegiants,195
51,,1.55,,8,125,123,Vishal Mane,,,185,,,9,194,Dabang Delhi K.C.,194
52,3.42,0.15,79,,53,174,Deepak Kumar Dahiya,181,142,7,2,8,1,8,Puneri Paltan,189
53,2.66,0.37,39,,65,66,Mahesh Goud,165,133,21,,4,3,24,Bengal Warriors,189
54,2.35,1.03,11,1,59,745,Vijay,127,99,57,1,3,4,61,Dabang Delhi K.C.,188
55,,2.43,,11,76,357,Parvesh Bhainswal,,,175,,,10,185,Gujarat Fortunegiants,185
56,3.67,0.17,19,,48,119,CPO Surjeet Singh,176,138,8,6,3,,8,Tamil Thalaivas,184
57,3.79,0.02,79,,50,389,Ajay Kumar,182,137,1,4,4,,1,Gujarat Fortunegiants,183
58,0.08,2.63,1,10,68,368,Sunil Kumar,3,3,167,,,12,179,Gujarat Fortunegiants,182
59,1.13,1.86,7,6,66,252,Kuldeep Singh,59,39,103,,2,20,123,Patna Pirates,182
60,4.55,0.16,36,,38,92,Ravi Dalal,173,136,6,3,6,,6,Dabang Delhi K.C.,179
61,0,2.64,,12,67,579,Jaideep,,,167,,,10,177,Patna Pirates,177
